BTAG,FLETAG,FLESUBTAG,FEATURES,TOKENS,,DESCRIPTON
JJT,ADJ,Superlative,,,best largest coolest calmest latest greatest earliest simplest strongest newest fiercest unhappiest worst youngest worthiest fastest hottest fittest lowest finest smallest staunchest ...,"adjective, superlative"
MD,AUX,Modal,,,should may might will would must can could shall ought need wilt,modal auxillary
MD*,AUX,Modal,Neg,,cannot couldn't wouldn't can't won't shouldn't shan't mustn't musn't,"modal auxillary, negated"
MD+HV,,,,,shouldda musta coulda must've woulda could've,"modal auxillary + verb ""to have"", uninflected form"
MD+PPSS,,,,,willya,"modal auxillary + pronoun, personal, nominative, not 3rd person singular"
MD+TO,,,,,oughta,modal auxillary + infinitival to
NN,N,Common,Sg,,failure burden court fire appointment awarding compensation Mayor interim committee fact effect airport management surveillance jail doctor intern extern night weekend duty legislation Tax Office ...,"noun, singular, common"
NN$,N,Common,Pos,,season's world's player's night's chapter's golf's football's baseball's club's U.'s coach's bride's bridegroom's board's county's firm's company's superintendent's mob's Navy's ...,"noun, singular, common, genitive"
NN+BEZ,,,,,water's camera's sky's kid's Pa's heat's throat's father's money's undersecretary's granite's level's wife's fat's Knife's fire's name's hell's leg's sun's roulette's cane's guy's kind's baseball's ...,"noun, singular, common + verb ""to be"", present tense, 3rd person singular"
NN+HVD,,,,,Pa'd,"noun, singular, common + verb ""to have"", past tense"
NN+HVZ,,,,,guy's Knife's boat's summer's rain's company's,"noun, singular, common + verb ""to have"", present tense, 3rd person singular"
NN+IN,,,,,buncha,"noun, singular, common + preposition"
NN+MD,,,,,cowhand'd sun'll,"noun, singular, common + modal auxillary"
NN+NN,,,,,stomach-belly,"noun, singular, common, hyphenated pair"
NNS,N,Common,Pl,,irregularities presentments thanks reports voters laws legislators years areas adjustments chambers $100 bonds courts sales details raises sessions members congressmen votes polls calls ...,"noun, plural, common"
NNS$,N,Common,"Pl,Poss",,taxpayers' children's members' States' women's cutters' motorists' steelmakers' hours' Nations' lawyers' prisoners' architects' tourists' Employers' secretaries' Rogues' ...,"noun, plural, common, genitive"
NNS+MD,N,Proper,Sg,,duds'd oystchers'll,"noun, plural, common + modal auxillary"
NP,N,Proper,Sg,,Fulton Atlanta September-October Durwood Pye Ivan Allen Jr. Jan. Alpharetta Grady William B. Hartsfield Pearl Williams Aug. Berry J. M. Cheshire Griffin Opelika Ala. E. Pelham Snodgrass ...,"noun, singular, proper"
NP$,N,Proper,"Sg,Poss",,Green's Landis' Smith's Carreon's Allison's Boston's Spahn's Willie's Mickey's Milwaukee's Mays' Howsam's Mantle's Shaw's Wagner's Rickey's Shea's Palmer's Arnold's Broglio's ...,"noun, singular, proper, genitive"
NP+BEZ,,,,,W.'s Ike's Mack's Jack's Kate's Katharine's Black's Arthur's Seaton's Buckhorn's Breed's Penny's Rob's Kitty's Blackwell's Myra's Wally's Lucille's Springfield's Arlene's,"noun, singular, proper + verb ""to be"", present tense, 3rd person singular"
NP+HVZ,,,,,Bill's Guardino's Celie's Skolman's Crosson's Tim's Wally's,"noun, singular, proper + verb ""to have"", present tense, 3rd person singular"
NP+MD,N,,Sg,,Gyp'll John'll,"noun, singular, proper + modal auxillary"
NPS,N,Proper,Pl,,Chases Aderholds Chapelles Armisteads Lockies Carbones French Marskmen Toppers Franciscans Romans Cadillacs Masons Blacks Catholics British Dixiecrats Mississippians Congresses ...,"noun, plural, proper"
NPS$,N,Proper,"Pl,Poss",,Republicans' Orioles' Birds' Yanks' Redbirds' Bucs' Yankees' Stevenses' Geraghtys' Burkes' Wackers' Achaeans' Dresbachs' Russians' Democrats' Gershwins' Adventists' Negroes' Catholics' ...,"noun, plural, proper, genitive"
NR,N,Proper,Sg,,Friday home Wednesday Tuesday Monday Sunday Thursday yesterday tomorrow tonight West East Saturday west left east downtown north northeast southeast northwest North South right ...,"noun, singular, adverbial"
NR$,N,Proper,Sg,,Saturday's Monday's yesterday's tonight's tomorrow's Sunday's Wednesday's Friday's today's Tuesday's West's Today's South's,"noun, singular, adverbial, genitive"
NR+MD,,,,,today'll,"noun, singular, adverbial + modal auxillary"
NRS,N,Proper,Pl,,Sundays Mondays Saturdays Wednesdays Souths Fridays,"noun, plural, adverbial"
NRS,ADV,,,,Sundays Mondays Saturdays Wednesdays Souths Fridays,"noun, plural, adverbial"
OD,NUM,Ord,,,first 13th third nineteenth 2d 61st second sixth eighth ninth twenty-first eleventh 50th eighteenth- Thirty-ninth 72nd 1/20th twentieth mid-19th thousandth 350th sixteenth 701st ...,"numeral, ordinal"
PN,PRON,Nominal,"3P,Sg",,none something everything one anyone nothing nobody everybody everyone anybody anything someone no-one nothin,"pronoun, nominal"
PN$,PRON,Poss,,,one's someone's anybody's nobody's everybody's anyone's everyone's,"pronoun, nominal, genitive"
PN+BEZ,,,,,nothing's everything's somebody's nobody's someone's,"pronoun, nominal + verb ""to be"", present tense, 3rd person singular"
PN+HVD,,,,,nobody'd,"pronoun, nominal + verb ""to have"", past tense"
PN+HVZ,,,,,nobody's somebody's one's,"pronoun, nominal + verb ""to have"", present tense, 3rd person singular"
PN+MD,,,,,someone'll somebody'll anybody'd,"pronoun, nominal + modal auxillary"
PP$,PRON,Poss,,our its his their my your her out thy mine thine,our its his their my your her out thy mine thine,"determiner, possessive"
PP$$,PRON,Poss,,,ours mine his hers theirs yours,"pronoun, possessive"
PPL,PRON,Refl,Sg,,itself himself myself yourself herself oneself ownself,"pronoun, singular, reflexive"
PPLS,PRON,Refl,Pl,,themselves ourselves yourselves,"pronoun, plural, reflexive"
PPO,PRON,Acc,,,them it him me us you 'em her thee we'uns,"pronoun, personal, accusative"
PPS,PRON,Nom,"3P,Sg",,it he she thee,"pronoun, personal, nominative, 3rd person singular"
PPS+BEZ,,,,,it's he's she's,"pronoun, personal, nominative, 3rd person singular + verb ""to be"", present tense, 3rd person singular"
PPS+HVD,,,,,she'd he'd it'd,"pronoun, personal, nominative, 3rd person singular + verb ""to have"", past tense"
PPS+HVZ,,,,,it's he's she's,"pronoun, personal, nominative, 3rd person singular + verb ""to have"", present tense, 3rd person singular"
PPS+MD,,,,,he'll she'll it'll he'd it'd she'd,"pronoun, personal, nominative, 3rd person singular + modal auxillary"
PPSS,PRON,,,,they we I you ye thou you'uns,"pronoun, personal, nominative, not 3rd person singular"
PPSS+BEM,,,,,I'm Ahm,"pronoun, personal, nominative, not 3rd person singular + verb ""to be"", present tense, 1st person singular"
PPSS+BER,,,,,we're you're they're,"pronoun, personal, nominative, not 3rd person singular + verb ""to be"", present tense, 2nd person singular or all persons plural"
PPSS+BEZ,,,,,you's,"pronoun, personal, nominative, not 3rd person singular + verb ""to be"", present tense, 3rd person singular"
PPSS+BEZ*,,,,,tain't,"pronoun, personal, nominative, not 3rd person singular + verb ""to be"", present tense, 3rd person singular, negated"
PPSS+HV,,,,,I've we've they've you've,"pronoun, personal, nominative, not 3rd person singular + verb ""to have"", uninflected present tense"
PPSS+HVD,,,,,I'd you'd we'd they'd,"pronoun, personal, nominative, not 3rd person singular + verb ""to have"", past tense"
PPSS+MD,,,,,you'll we'll I'll we'd I'd they'll they'd you'd,"pronoun, personal, nominative, not 3rd person singular + modal auxillary"
PPSS+VB,,,,,y'know,"pronoun, personal, nominative, not 3rd person singular + verb ""to verb"", uninflected present tense"
QL,ADV,Intensifying,,,well less very most so real as highly fundamentally even how much remarkably somewhat more completely too thus ill deeply little overly halfway almost impossibly far severly such ...,"qualifier, pre"
QLP,ADV,Intensifying,,,indeed enough still 'nuff,"qualifier, post"
RB,ADV,,,,only often generally also nevertheless upon together back newly no likely meanwhile near then heavily there apparently yet outright fully aside consistently specifically formally ever just ...,adverb
RB$,PRON,Poss,,,else's,"adverb, genitive"
RB+BEZ,,,,,here's there's,"adverb + verb ""to be"", present tense, 3rd person singular"
RB+CS,,,,,well's soon's,"adverb + conjunction, coordinating"
RBR,ADV,Comparative,,,further earlier better later higher tougher more harder longer sooner less faster easier louder farther oftener nearer cheaper slower tighter lower worse heavier quicker ...,"adverb, comparative"
RBR+CS,,,,,more'n,"adverb, comparative + conjunction, coordinating"
RBT,ADV,Superlative,,,most best highest uppermost nearest brightest hardest fastest deepest farthest loudest ...,"adverb, superlative"
RN,ADV,,,,here afar then,"adverb, nominal"
RP,P,Particle,,,up out off down over on in about through across after,"adverb, particle"
RP+IN,,,,,out'n outta,"adverb, particle + preposition"
TO,P,InfMarker,,,to t',infinitival to
TO+VB,,,,,t'jawn t'lah,"infinitival to + verb, infinitive"
UH,INT,,,,Hurrah bang whee hmpf ah goodbye oops oh-the-pain-of-it ha crunch say oh why see well hello lo alas tarantara rum-tum-tum gosh hell keerist Jesus Keeeerist boy c'mon 'mon goddamn bah hoo-pig damn ...,interjection
VB,V,Bare,,,investigate find act follow inure achieve reduce take remedy re-set distribute realize disable feel receive continue place protect eliminate elaborate work permit run enter force ...,"verb, base: uninflected present, imperative or infinitive"
VB+AT,,,,,wanna,"verb, base: uninflected present or infinitive + article"
VB+IN,,,,,lookit,"verb, base: uninflected present, imperative or infinitive + preposition"
VB+JJ,,,,,die-dead,"verb, base: uninflected present, imperative or infinitive + adjective"
VB+PPO,,,,,let's lemme gimme,"verb, uninflected present tense + pronoun, personal, accusative"
VB+RP,,,,,g'ahn c'mon,"verb, imperative + adverbial particle"
VB+TO,,,,,wanta wanna,"verb, base: uninflected present, imperative or infinitive + infinitival to"
VB+VB,,,,,say-speak,"verb, base: uninflected present, imperative or infinitive; hypenated pair"
VBD,V,Finite,Past,,said produced took recommended commented urged found added praised charged listed became announced brought attended wanted voted defeated received got stood shot scheduled feared promised made ...,"verb, past tense"
VBG,V,PresPart,,,modernizing improving purchasing Purchasing lacking enabling pricing keeping getting picking entering voting warning making strengthening setting neighboring attending participating moving ...,"verb, present participle or gerund"
VBG+TO,,,,,gonna,"verb, present participle + infinitival to"
VBN,V,PastPart,,,conducted charged won received studied revised operated accepted combined experienced recommended effected granted seen protected adopted retarded notarized selected composed gotten printed ...,"verb, past participle"
VBN+TO,,,,,gotta,"verb, past participle + infinitival to"
VBZ,V,Finite,Pres,,deserves believes receives takes goes expires says opposes starts permits expects thinks faces votes teaches holds calls fears spends collects backs eliminates sets flies gives seeks reads ...,"verb, present tense, 3rd person singular"
WDT,Q,Pron,,,which what whatever whichever whichever-the-hell,WH-determiner
WDT+BER,,,,,what're,"WH-determiner + verb ""to be"", present tense, 2nd person singular or all persons plural"
WDT+BER+PP,,,,,whaddya,"WH-determiner + verb ""to be"", present, 2nd person singular or all persons plural + pronoun, personal, nominative, not 3rd person singular"
WDT+BEZ,,,,,what's,"WH-determiner + verb ""to be"", present tense, 3rd person singular"
WDT+DO+PPS,,,,,whaddya,"WH-determiner + verb ""to do"", uninflected present tense + pronoun, personal, nominative, not 3rd person singular"
WDT+DOD,,,,,what'd,"WH-determiner + verb ""to do"", past tense"
WDT+HVZ,,,,,what's,"WH-determiner + verb ""to have"", present tense, 3rd person singular"
WP$,Pron,Q,Poss,,whose whosever,"WH-pronoun, genitive"
WPO,Pron,Q,Acc,,whom that who,"WH-pronoun, accusative"
WPS,Pron,Q,Nom,,that who whoever whosoever what whatsoever,"WH-pronoun, nominative"
WPS+BEZ,,,,,that's who's,"WH-pronoun, nominative + verb ""to be"", present, 3rd person singular"
WPS+HVD,,,,,who'd,"WH-pronoun, nominative + verb ""to have"", past tense"
WPS+HVZ,,,,,who's that's,"WH-pronoun, nominative + verb ""to have"", present tense, 3rd person singular"
WPS+MD,,,,,who'll that'd who'd that'll,"WH-pronoun, nominative + modal auxillary"
WQL,Adv,Q,,,however how,WH-qualifier
WRB,Adv,Q,,,however when where why whereby wherever how whenever whereon wherein wherewith wheare wherefore whereof howsabout,WH-adverb
WRB+BER,,,,,where're,"WH-adverb + verb ""to be"", present, 2nd person singular or all persons plural"
WRB+BEZ,,,,,how's where's,"WH-adverb + verb ""to be"", present, 3rd person singular"
WRB+DO,,,,,howda,"WH-adverb + verb ""to do"", present, not 3rd person singular"
WRB+DOD,,,,,where'd how'd,"WH-adverb + verb ""to do"", past tense"
WRB+DOD*,,,,,whyn't,"WH-adverb + verb ""to do"", past tense, negated"
WRB+DOZ,,,,,how's,"WH-adverb + verb ""to do"", present tense, 3rd person singular"
WRB+IN,,,,,why'n,WH-adverb + preposition
WRB+MD,,,,,where'd,WH-adverb + modal auxillary
